"etapa","perigos","codigo","limite_critico","monitoramento_oque","monitoramento_como","monitoramento_quando","monitoramento_quem","acao_corretiva","registro","verificacao"
"Recebimento de matéria-prima (carne)","Contaminação por E. coli, Salmonella ou outros patógenos","B","Ausência de contaminação visível, luvas íntegras","Higiene pessoal e condição das luvas","Inspeção visual","No início e a cada retorno do banheiro","Supervisor de produção","Treinar o funcionário, substituir a luva e reprocessar o produto, se for o caso","Ficha de Controle de Higiene","Auditoria interna de BPF"
"Recebimento de matéria-prima (carne)","Resíduos de antibióticos ou hormônios","Q","","","","","","","",""
"Recebimento de matéria-prima (carne)","Fragmentos de metal ou osso","F","Ausência de fragmentos visíveis","Aparência visual do produto","Inspeção visual da linha e/ou detector de metais","A cada 15 minutos e por lote","Operador da linha","Parar a linha, inspecionar o equipamento, segregar e reprocessar o lote contaminado","Relatório de Inspeção Física","Análise de reclamações de clientes"
"Moagem da carne","Proliferação de microrganismos","B","Temperatura da massa < 7°C e tempo de processo < 2 horas","Temperatura da massa e tempo de exposição","Uso de termômetro e cronômetro","A cada 30 minutos","Operador da mistura","Ajustar a temperatura do ambiente, resfriar a matéria-prima, descartar o lote se fora do limite","Ficha de Controle de Temperatura","Auditoria de processos e análise laboratorial de produto"
"Moagem da carne","Contaminação por lubrificantes e óleos","Q","Uso de lubrificante grau alimentício e ausência de vazamentos","Vazamentos de óleo/graxa","Inspeção visual do equipamento","A cada turno","Responsável da manutenção","Reparar o equipamento e fazer a limpeza da área","Ordem de Serviço de Manutenção","Revisão de plano de manutenção preventiva"
"Moagem da carne","Fragmentos de metal ou plástico","F","Ausência de fragmentos visíveis","Aparência visual do produto","Inspeção visual da linha e/ou detector de metais","A cada 15 minutos e por lote","Operador da linha","Parar a linha, inspecionar o equipamento, segregar e reprocessar o lote contaminado","Relatório de Inspeção Física","Análise de reclamações de clientes"
"Mistura e tempero","Proliferação de microrganismos","B","Temperatura da massa < 7°C e tempo de processo < 2 horas","Temperatura da massa e tempo de exposição","Uso de termômetro e cronômetro","A cada 30 minutos","Operador da mistura","Ajustar a temperatura do ambiente, resfriar a matéria-prima, descartar o lote se fora do limite","Ficha de Controle de Temperatura","Auditoria de processos e análise laboratorial de produto"
"Mistura e tempero","Dosagem incorreta de nitrito ou nitrato","Q","Dosagem do aditivo dentro dos limites legais","Peso dos ingredientes","Pesagem em balança calibrada","A cada lote","Operador de mistura","Ajustar a dosagem e descartar o lote superdosado","Registro de Mistura","Calibração anual da balança e auditoria de registros"
"Mistura e tempero","Fragmentos de plástico ou outros objetos estranhos","F","Ausência de fragmentos visíveis","Aparência visual do produto","Inspeção visual da linha e/ou detector de metais","A cada 15 minutos e por lote","Operador da linha","Parar a linha, inspecionar o equipamento, segregar e reprocessar o lote contaminado","Relatório de Inspeção Física","Análise de reclamações de clientes"
"Embutimento (enchimento)","Contaminação da tripa","B","Ausência de contaminação visível, luvas íntegras","Higiene pessoal e condição das luvas","Inspeção visual","No início e a cada retorno do banheiro","Supervisor de produção","Treinar o funcionário, substituir a luva e reprocessar o produto, se for o caso","Ficha de Controle de Higiene","Auditoria interna de BPF"
"Embutimento (enchimento)","Não identificado","Q","","","","","","","",""
"Embutimento (enchimento)","Fragmentos de metal, plástico ou borracha","F","Ausência de fragmentos visíveis","Aparência visual do produto","Inspeção visual da linha e/ou detector de metais","A cada 15 minutos e por lote","Operador da linha","Parar a linha, inspecionar o equipamento, segregar e reprocessar o lote contaminado","Relatório de Inspeção Física","Análise de reclamações de clientes"
"Cozimento / Defumação (tratamento térmico)","Sobrevivência de microrganismos patogênicos","B","Temperatura interna do produto ≥ 72°C por 15 segundos","Temperatura interna e tempo de cozimento","Uso de termômetro espeto e cronômetro","A cada lote","Supervisor de produção","Aumentar tempo e/ou temperatura, reprocessar ou descartar o lote","Relatório de Cozimento","Verificação com termômetro calibrado e análise laboratorial"
"Cozimento / Defumação (tratamento térmico)","Contaminação por resíduos de fumaça","Q","Ausência de fumaça preta e controle de temperatura da câmara","Temperatura e cor da fumaça","Inspeção visual e termômetro da câmara","A cada 30 minutos","Operador da defumação","Ajustar o queimador, descartar o lote, se for o caso.","Registro de Defumação","Revisão do plano de manutenção do equipamento"
"Cozimento / Defumação (tratamento térmico)","Não identificado","F","","","","","","","",""
"Resfriamento (pós-cozimento)","Proliferação de microrganismos","B","Temperatura da massa < 7°C e tempo de processo < 2 horas","Temperatura da massa e tempo de exposição","Uso de termômetro e cronômetro","A cada 30 minutos","Operador da mistura","Ajustar a temperatura do ambiente, resfriar a matéria-prima, descartar o lote se fora do limite","Ficha de Controle de Temperatura","Auditoria de processos e análise laboratorial de produto"
"Resfriamento (pós-cozimento)","Não identificado","Q","","","","","","","",""
"Resfriamento (pós-cozimento)","Não identificado","F","","","","","","","",""
"Embalagem","Contaminação por pessoal ou ambiente","B","Ausência de contaminação visível, luvas íntegras","Higiene pessoal e condição das luvas","Inspeção visual","No início e a cada retorno do banheiro","Supervisor de produção","Treinar o funcionário, substituir a luva e reprocessar o produto, se for o caso","Ficha de Controle de Higiene","Auditoria interna de BPF"
"Embalagem","Não identificado","Q","","","","","","","",""
"Embalagem","Fragmentos de embalagem ou metal","F","Ausência de fragmentos visíveis","Aparência visual do produto","Inspeção visual da linha e/ou detector de metais","A cada 15 minutos e por lote","Operador da linha","Parar a linha, inspecionar o equipamento, segregar e reprocessar o lote contaminado","Relatório de Inspeção Física","Análise de reclamações de clientes"
"Expedição e Transporte","Proliferação de microrganismos","B","Temperatura da massa < 7°C e tempo de processo < 2 horas","Temperatura da massa e tempo de exposição","Uso de termômetro e cronômetro","A cada 30 minutos","Operador da mistura","Ajustar a temperatura do ambiente, resfriar a matéria-prima, descartar o lote se fora do limite","Ficha de Controle de Temperatura","Auditoria de processos e análise laboratorial de produto"
"Expedição e Transporte","Contaminação por combustível ou óleos","Q","","","","","","","",""
"Expedição e Transporte","Não identificado","F","","","","","","","",""
